ID	TOT_POP	CTYNAME
1001	4125	Autauga County
1003	14509	Baldwin County
1005	1861	Barbour County
1007	1722	Bibb County
1009	4077	Blount County
1011	768	Bullock County
1013	1328	Butler County
1015	8033	Calhoun County
1017	2476	Chambers County
1019	1924	Cherokee County
1021	3035	Chilton County
1023	1001	Choctaw County
1025	1812	Clarke County
1027	1034	Clay County
1029	1072	Cleburne County
1031	3464	Coffee County
1033	3987	Colbert County
1035	902	Conecuh County
1037	886	Coosa County
1039	2729	Covington County
1041	1044	Crenshaw County
1043	5841	Cullman County
1045	3285	Dale County
1047	2898	Dallas County
1049	4841	DeKalb County
1051	5962	Elmore County
1053	2600	Escambia County
1055	7123	Etowah County
1057	1204	Fayette County
1059	2080	Franklin County
1061	1934	Geneva County
1063	578	Greene County
1065	1160	Hale County
1067	1199	Henry County
1069	7300	Houston County
1071	3720	Jackson County
1073	44644	Jefferson County
1075	1013	Lamar County
1077	6302	Lauderdale County
1079	2665	Lawrence County
1081	9213	Lee County
1083	7176	Limestone County
1085	815	Lowndes County
1087	1219	Macon County
1089	28790	Madison County
1091	1338	Marengo County
1093	2240	Marion County
1095	6557	Marshall County
1097	28713	Mobile County
1099	1555	Monroe County
1101	14877	Montgomery County
1103	8894	Morgan County
1105	557	Perry County
1107	1567	Pickens County
1109	1804	Pike County
1111	1632	Randolph County
1113	4055	Russell County
1115	6378	St. Clair County
1117	15093	Shelby County
1119	843	Sumter County
1121	5687	Talladega County
1123	2908	Tallapoosa County
1125	11835	Tuscaloosa County
1127	4656	Walker County
1129	1255	Washington County
1131	722	Wilcox County
1133	1876	Winston County
2013	378	Aleutians East Borough
2016	604	Aleutians West Census Area
2020	19583	Anchorage Municipality
2050	1080	Bethel Census Area
2060	94	Bristol Bay Borough
2068	197	Denali Borough
2070	350	Dillingham Census Area
2090	5715	Fairbanks North Star Borough
2100	233	Haines Borough
2105	184	Hoonah-Angoon Census Area
2110	2519	Juneau City and Borough
2122	4145	Kenai Peninsula Borough
2130	1089	Ketchikan Gateway Borough
2150	968	Kodiak Island Borough
2158	416	Kusilvak Census Area
2164	117	Lake and Peninsula Borough
2170	7141	Matanuska-Susitna Borough
2180	572	Nome Census Area
2185	940	North Slope Borough
2188	480	Northwest Arctic Borough
2195	246	Petersburg Borough
2198	544	Prince of Wales-Hyder Census Area
2220	602	Sitka City and Borough
2230	67	Skagway Municipality
2240	497	Southeast Fairbanks Census Area
2261	752	Valdez-Cordova Census Area
2275	198	Wrangell City and Borough
2282	52	Yakutat City and Borough
2290	355	Yukon-Koyukuk Census Area
4001	4757	Apache County
4003	7893	Cochise County
4005	8074	Coconino County
4007	3368	Gila County
4009	1981	Graham County
4011	590	Greenlee County
4012	1089	La Paz County
4013	268947	Maricopa County
4015	13888	Mohave County
4017	6953	Navajo County
4019	61968	Pima County
4021	22980	Pinal County
4023	2938	Santa Cruz County
4025	14798	Yavapai County
4027	11035	Yuma County
5001	1250	Arkansas County
5003	1487	Ashley County
5005	2751	Baxter County
5007	15804	Benton County
5009	2611	Boone County
5011	765	Bradley County
5013	448	Calhoun County
5015	1921	Carroll County
5017	755	Chicot County
5019	1330	Clark County
5021	1078	Clay County
5023	1894	Cleburne County
5025	619	Cleveland County
5027	1482	Columbia County
5029	1602	Conway County
5031	6418	Craighead County
5033	4427	Crawford County
5035	3370	Crittenden County
5037	1258	Cross County
5039	548	Dallas County
5041	822	Desha County
5043	1237	Drew County
5045	7541	Faulkner County
5047	1250	Franklin County
5049	854	Fulton County
5051	6666	Garland County
5053	1395	Grant County
5055	3070	Greene County
5057	1606	Hempstead County
5059	2456	Hot Spring County
5061	997	Howard County
5063	2504	Independence County
5065	1020	Izard County
5067	1274	Jackson County
5069	5002	Jefferson County
5071	1815	Johnson County
5073	571	Lafayette County
5075	1210	Lawrence County
5077	606	Lee County
5079	1054	Lincoln County
5081	883	Little River County
5083	1707	Logan County
5085	4865	Lonoke County
5087	1208	Madison County
5089	1205	Marion County
5091	2973	Miller County
5093	3032	Mississippi County
5095	556	Monroe County
5097	731	Montgomery County
5099	634	Nevada County
5101	552	Newton County
5103	1843	Ouachita County
5105	772	Perry County
5107	1320	Phillips County
5109	784	Pike County
5111	1710	Poinsett County
5113	1377	Polk County
5115	4152	Pope County
5117	652	Prairie County
5119	26143	Pulaski County
5121	1220	Randolph County
5123	1829	St. Francis County
5125	8055	Saline County
5127	820	Scott County
5129	594	Searcy County
5131	8924	Sebastian County
5133	1136	Sevier County
5135	1173	Sharp County
5137	952	Stone County
5139	2885	Union County
5141	1254	Van Buren County
5143	12963	Washington County
5145	5484	White County
5147	486	Woodruff County
5149	1612	Yell County
6001	114297	Alameda County
6003	101	Alpine County
6005	2882	Amador County
6007	13454	Butte County
6009	3373	Calaveras County
6011	1354	Colusa County
6013	84707	Contra Costa County
6015	1914	Del Norte County
6017	15150	El Dorado County
6019	57318	Fresno County
6021	1832	Glenn County
6023	8282	Humboldt County
6025	10601	Imperial County
6027	1294	Inyo County
6029	52783	Kern County
6031	9095	Kings County
6033	4610	Lake County
6035	2160	Lassen County
6037	691304	Los Angeles County
6039	9282	Madera County
6041	20846	Marin County
6043	1376	Mariposa County
6045	5601	Mendocino County
6047	15689	Merced County
6049	666	Modoc County
6051	1120	Mono County
6053	25968	Monterey County
6055	9944	Napa County
6057	7079	Nevada County
6059	230571	Orange County
6061	27276	Placer County
6063	1330	Plumas County
6065	153151	Riverside County
6067	101295	Sacramento County
6069	4188	San Benito County
6071	137435	San Bernardino County
6073	217010	San Diego County
6075	56574	San Francisco County
6077	46765	San Joaquin County
6079	17833	San Luis Obispo County
6081	56335	San Mateo County
6083	26599	Santa Barbara County
6085	137145	Santa Clara County
6087	18508	Santa Cruz County
6089	12516	Shasta County
6091	230	Sierra County
6093	2901	Siskiyou County
6095	31218	Solano County
6097	36204	Sonoma County
6099	34511	Stanislaus County
6101	6368	Sutter County
6103	4542	Tehama County
6105	1023	Trinity County
6107	25935	Tulare County
6109	3656	Tuolumne County
6111	61327	Ventura County
6113	12225	Yolo County
6115	4460	Yuba County
8001	30880	Adams County
8003	914	Alamosa County
8005	42441	Arapahoe County
8007	906	Archuleta County
8009	228	Baca County
8011	414	Bent County
8013	21516	Boulder County
8014	4464	Broomfield County
8015	1350	Chaffee County
8017	141	Cheyenne County
8019	814	Clear Creek County
8021	536	Conejos County
8023	237	Costilla County
8025	419	Crowley County
8027	292	Custer County
8029	2033	Delta County
8031	37704	Denver County
8033	133	Dolores County
8035	25324	Douglas County
8037	3869	Eagle County
8039	2500	Elbert County
8041	44786	El Paso County
8043	3434	Fremont County
8045	3985	Garfield County
8047	606	Gilpin County
8049	1149	Grand County
8051	955	Gunnison County
8053	56	Hinsdale County
8055	456	Huerfano County
8057	117	Jackson County
8059	43638	Jefferson County
8061	111	Kiowa County
8063	526	Kit Carson County
8065	497	Lake County
8067	3814	La Plata County
8069	20375	Larimer County
8071	943	Las Animas County
8073	415	Lincoln County
8075	1456	Logan County
8077	9670	Mesa County
8079	54	Mineral County
8081	966	Moffat County
8083	1768	Montezuma County
8085	2806	Montrose County
8087	1862	Morgan County
8089	1205	Otero County
8091	379	Ouray County
8093	1698	Park County
8095	283	Phillips County
8097	1377	Pitkin County
8099	754	Prowers County
8101	10776	Pueblo County
8103	446	Rio Blanco County
8105	734	Rio Grande County
8107	1728	Routt County
8109	501	Saguache County
8111	50	San Juan County
8113	604	San Miguel County
8115	148	Sedgwick County
8117	2097	Summit County
8119	2215	Teller County
8121	325	Washington County
8123	17977	Weld County
8125	653	Yuma County
9001	75785	Fairfield County
9003	68588	Hartford County
9005	16335	Litchfield County
9007	14050	Middlesex County
9009	64595	New Haven County
9011	21083	New London County
9013	11566	Tolland County
9015	9482	Windham County
10001	11982	Kent County
10003	40988	New Castle County
10005	14947	Sussex County
11001	39005	District of Columbia
12001	14125	Alachua County
12003	1919	Baker County
12005	13576	Bay County
12007	1921	Bradford County
12009	45558	Brevard County
12011	145443	Broward County
12013	1008	Calhoun County
12015	11195	Charlotte County
12017	9449	Citrus County
12019	15813	Clay County
12021	22753	Collier County
12023	4709	Columbia County
12027	2318	DeSoto County
12029	1276	Dixie County
12031	64144	Duval County
12033	20820	Escambia County
12035	6860	Flagler County
12037	777	Franklin County
12039	3464	Gadsden County
12041	1179	Gilchrist County
12043	868	Glades County
12045	1226	Gulf County
12047	955	Hamilton County
12049	1658	Hardee County
12051	2445	Hendry County
12053	12199	Hernando County
12055	5734	Highlands County
12057	94362	Hillsborough County
12059	1353	Holmes County
12061	9757	Indian River County
12063	3379	Jackson County
12065	1074	Jefferson County
12067	600	Lafayette County
12069	21586	Lake County
12071	45506	Lee County
12073	15799	Leon County
12075	3050	Levy County
12077	592	Liberty County
12079	1318	Madison County
12081	24512	Manatee County
12083	21939	Marion County
12085	11326	Martin County
12086	203434	Miami-Dade County
12087	6407	Monroe County
12089	5861	Nassau County
12091	14086	Okaloosa County
12093	2756	Okeechobee County
12095	87706	Orange County
12097	21452	Osceola County
12099	100685	Palm Beach County
12101	35247	Pasco County
12103	74801	Pinellas County
12105	41781	Polk County
12107	5274	Putnam County
12109	17383	St. Johns County
12111	20737	St. Lucie County
12113	13143	Santa Rosa County
12115	26971	Sarasota County
12117	33936	Seminole County
12119	4642	Sumter County
12121	2970	Suwannee County
12123	1568	Taylor County
12125	1237	Union County
12127	37925	Volusia County
12129	2445	Wakulla County
12131	4863	Walton County
12133	1806	Washington County
13001	1265	Appling County
13003	549	Atkinson County
13005	684	Bacon County
13007	260	Baker County
13009	3017	Baldwin County
13011	1435	Banks County
13013	5028	Barrow County
13015	7576	Bartow County
13017	1115	Ben Hill County
13019	1335	Berrien County
13021	10025	Bibb County
13023	918	Bleckley County
13025	1353	Brantley County
13027	1172	Brooks County
13029	2344	Bryan County
13031	3899	Bulloch County
13033	1638	Burke County
13035	1760	Butts County
13037	477	Calhoun County
13039	3284	Camden County
13043	708	Candler County
13045	7444	Carroll County
13047	4727	Catoosa County
13049	989	Charlton County
13051	17582	Chatham County
13053	233	Chattahoochee County
13055	1653	Chattooga County
13057	17663	Cherokee County
13059	5391	Clarke County
13061	198	Clay County
13063	18068	Clayton County
13065	425	Clinch County
13067	53731	Cobb County
13069	2951	Coffee County
13071	2905	Colquitt County
13073	10154	Columbia County
13075	1111	Cook County
13077	10344	Coweta County
13079	1099	Crawford County
13081	1541	Crisp County
13083	1085	Dade County
13085	1835	Dawson County
13087	1896	Decatur County
13089	49917	DeKalb County
13091	1529	Dodge County
13093	1016	Dooly County
13095	5678	Dougherty County
13097	10289	Douglas County
13099	700	Early County
13101	280	Echols County
13103	4225	Effingham County
13105	1422	Elbert County
13107	1524	Emanuel County
13109	708	Evans County
13111	1790	Fannin County
13113	9512	Fayette County
13115	6504	Floyd County
13117	16472	Forsyth County
13119	1515	Franklin County
13121	69053	Fulton County
13123	2091	Gilmer County
13125	230	Glascock County
13127	5842	Glynn County
13129	4024	Gordon County
13131	1743	Grady County
13133	1043	Greene County
13135	65554	Gwinnett County
13137	2852	Habersham County
13139	13096	Hall County
13141	661	Hancock County
13143	2086	Haralson County
13145	2794	Harris County
13147	1837	Hart County
13149	856	Heard County
13151	16624	Henry County
13153	11096	Houston County
13155	617	Irwin County
13157	4473	Jackson County
13159	1001	Jasper County
13161	996	Jeff Davis County
13163	1124	Jefferson County
13165	649	Jenkins County
13167	754	Johnson County
13169	2157	Jones County
13171	1193	Lamar County
13173	696	Lanier County
13175	3217	Laurens County
13177	1925	Lee County
13179	3216	Liberty County
13181	611	Lincoln County
13183	1131	Long County
13185	6275	Lowndes County
13187	1984	Lumpkin County
13189	1568	McDuffie County
13191	1081	McIntosh County
13193	979	Macon County
13195	2224	Madison County
13197	727	Marion County
13199	1601	Meriwether County
13201	436	Miller County
13205	1611	Mitchell County
13207	2095	Monroe County
13209	625	Montgomery County
13211	1369	Morgan County
13213	2879	Murray County
13215	12502	Muscogee County
13217	7336	Newton County
13219	2675	Oconee County
13221	1140	Oglethorpe County
13223	11019	Paulding County
13225	1905	Peach County
13227	2180	Pickens County
13229	1344	Pierce County
13231	1385	Pike County
13233	2754	Polk County
13235	838	Pulaski County
13237	1521	Putnam County
13239	162	Quitman County
13241	1112	Rabun County
13243	508	Randolph County
13245	12875	Richmond County
13247	6824	Rockdale County
13249	381	Schley County
13251	998	Screven County
13253	618	Seminole County
13255	4277	Spalding County
13257	1740	Stephens County
13259	359	Stewart County
13261	1910	Sumter County
13263	547	Talbot County
13265	137	Taliaferro County
13267	1853	Tattnall County
13269	648	Taylor County
13271	1134	Telfair County
13273	672	Terrell County
13275	3277	Thomas County
13277	2528	Tift County
13279	1749	Toombs County
13281	660	Towns County
13283	419	Treutlen County
13285	4724	Troup County
13287	503	Turner County
13289	736	Twiggs County
13291	1497	Union County
13293	2002	Upson County
13295	4981	Walker County
13297	6504	Walton County
13299	2314	Ware County
13301	419	Warren County
13303	1641	Washington County
13305	2028	Wayne County
13307	219	Webster County
13309	553	Wheeler County
13311	2015	White County
13313	6835	Whitfield County
13315	600	Wilcox County
13317	745	Wilkes County
13319	738	Wilkinson County
13321	1541	Worth County
15001	12513	Hawaii County
15003	60828	Honolulu County
15005	9	Kalawao County
15007	4851	Kauai County
15009	11600	Maui County
16001	28555	Ada County
16003	278	Adams County
16005	4507	Bannock County
16007	339	Bear Lake County
16009	669	Benewah County
16011	2725	Bingham County
16013	1587	Blaine County
16015	608	Boise County
16017	3012	Bonner County
16019	6363	Bonneville County
16021	753	Boundary County
16023	170	Butte County
16025	89	Camas County
16027	11976	Canyon County
16029	394	Caribou County
16031	1295	Cassia County
16033	56	Clark County
16035	661	Clearwater County
16037	306	Custer County
16039	1574	Elmore County
16041	723	Franklin County
16043	775	Fremont County
16045	1232	Gem County
16047	945	Gooding County
16049	1130	Idaho County
16051	1524	Jefferson County
16053	1366	Jerome County
16055	10114	Kootenai County
16057	1995	Latah County
16059	535	Lemhi County
16061	255	Lewis County
16063	325	Lincoln County
16065	1272	Madison County
16067	1211	Minidoka County
16069	2641	Nez Perce County
16071	261	Oneida County
16073	765	Owyhee County
16075	1582	Payette County
16077	501	Power County
16079	927	Shoshone County
16081	688	Teton County
16083	4778	Twin Falls County
16085	679	Valley County
16087	657	Washington County
17001	4747	Adams County
17003	523	Alexander County
17005	1291	Bond County
17007	4038	Boone County
17009	490	Brown County
17011	2411	Bureau County
17013	358	Calhoun County
17015	1092	Carroll County
17017	953	Cass County
17019	11076	Champaign County
17021	2536	Christian County
17023	1231	Clark County
17025	1008	Clay County
17027	2975	Clinton County
17029	3142	Coles County
17031	345344	Cook County
17033	1438	Crawford County
17035	803	Cumberland County
17037	6206	DeKalb County
17039	1221	De Witt County
17041	1318	Douglas County
17043	71584	DuPage County
17045	1257	Edgar County
17047	451	Edwards County
17049	2577	Effingham County
17051	1586	Fayette County
17053	955	Ford County
17055	2739	Franklin County
17057	2533	Fulton County
17059	379	Gallatin County
17061	1014	Greene County
17063	3654	Grundy County
17065	587	Hamilton County
17067	1352	Hancock County
17069	330	Hardin County
17071	544	Henderson County
17073	3606	Henry County
17075	2118	Iroquois County
17077	3241	Jackson County
17079	802	Jasper County
17081	2665	Jefferson County
17083	1800	Jersey County
17085	1608	Jo Daviess County
17087	901	Johnson County
17089	38385	Kane County
17091	7736	Kankakee County
17093	7880	Kendall County
17095	3543	Knox County
17097	55355	Lake County
17099	8434	LaSalle County
17101	1142	Lawrence County
17103	2697	Lee County
17105	2730	Livingston County
17107	2012	Logan County
17109	1731	McDonough County
17111	26135	McHenry County
17113	11016	McLean County
17115	7312	Macon County
17117	3464	Macoupin County
17119	19559	Madison County
17121	2801	Marion County
17123	894	Marshall County
17125	1055	Mason County
17127	1080	Massac County
17129	1035	Menard County
17131	1239	Mercer County
17133	2754	Monroe County
17135	2202	Montgomery County
17137	2512	Morgan County
17139	1021	Moultrie County
17141	4101	Ogle County
17143	11981	Peoria County
17145	1550	Perry County
17147	1305	Piatt County
17149	1071	Pike County
17151	335	Pope County
17153	402	Pulaski County
17155	454	Putnam County
17157	2480	Randolph County
17159	1169	Richland County
17161	9806	Rock Island County
17163	19560	St. Clair County
17165	1718	Saline County
17167	14620	Sangamon County
17169	537	Schuyler County
17171	446	Scott County
17173	1649	Shelby County
17175	412	Stark County
17177	3391	Stephenson County
