ID	TOT_POP	CTYNAME
1001	4136	Autauga County
1003	13020	Baldwin County
1005	1588	Barbour County
1007	1308	Bibb County
1009	3861	Blount County
1011	542	Bullock County
1013	1314	Butler County
1015	7157	Calhoun County
1017	1921	Chambers County
1019	1509	Cherokee County
1021	3100	Chilton County
1023	798	Choctaw County
1025	1649	Clarke County
1027	782	Clay County
1029	1007	Cleburne County
1031	3418	Coffee County
1033	3183	Colbert County
1035	779	Conecuh County
1037	537	Coosa County
1039	2335	Covington County
1041	908	Crenshaw County
1043	5246	Cullman County
1045	3248	Dale County
1047	2833	Dallas County
1049	5100	DeKalb County
1051	5450	Elmore County
1053	2336	Escambia County
1055	6428	Etowah County
1057	1023	Fayette County
1059	2172	Franklin County
1061	1716	Geneva County
1063	555	Greene County
1065	965	Hale County
1067	1060	Henry County
1069	7116	Houston County
1071	3330	Jackson County
1073	41164	Jefferson County
1075	885	Lamar County
1077	5391	Lauderdale County
1079	2116	Lawrence County
1081	9484	Lee County
1083	6131	Limestone County
1085	665	Lowndes County
1087	918	Macon County
1089	22328	Madison County
1091	1298	Marengo County
1093	1843	Marion County
1095	6516	Marshall County
1097	26947	Mobile County
1099	1491	Monroe County
1101	14529	Montgomery County
1103	7777	Morgan County
1105	642	Perry County
1107	1226	Pickens County
1109	1707	Pike County
1111	1411	Randolph County
1113	3954	Russell County
1115	5579	St. Clair County
1117	14894	Shelby County
1119	720	Sumter County
1121	5107	Talladega County
1123	2341	Tallapoosa County
1125	11630	Tuscaloosa County
1127	4057	Walker County
1129	1204	Washington County
1131	856	Wilcox County
1133	1472	Winston County
2013	88	Aleutians East Borough
2016	183	Aleutians West Census Area
2020	19300	Anchorage Municipality
2050	1657	Bethel Census Area
2060	53	Bristol Bay Borough
2068	99	Denali Borough
2070	378	Dillingham Census Area
2090	6000	Fairbanks North Star Borough
2100	176	Haines Borough
2105	119	Hoonah-Angoon Census Area
2110	1998	Juneau City and Borough
2122	3584	Kenai Peninsula Borough
2130	842	Ketchikan Gateway Borough
2150	912	Kodiak Island Borough
2158	830	Kusilvak Census Area
2164	117	Lake and Peninsula Borough
2170	7757	Matanuska-Susitna Borough
2180	880	Nome Census Area
2185	628	North Slope Borough
2188	668	Northwest Arctic Borough
2195	177	Petersburg Borough
2198	427	Prince of Wales-Hyder Census Area
2220	505	Sitka City and Borough
2230	29	Skagway Municipality
2240	473	Southeast Fairbanks Census Area
2261	593	Valdez-Cordova Census Area
2275	137	Wrangell City and Borough
2282	44	Yakutat City and Borough
2290	353	Yukon-Koyukuk Census Area
4001	5800	Apache County
4003	7569	Cochise County
4005	8199	Coconino County
4007	2943	Gila County
4009	2824	Graham County
4011	746	Greenlee County
4012	953	La Paz County
4013	291225	Maricopa County
4015	10850	Mohave County
4017	8337	Navajo County
4019	60520	Pima County
4021	28285	Pinal County
4023	3747	Santa Cruz County
4025	11100	Yavapai County
4027	14365	Yuma County
5001	1161	Arkansas County
5003	1343	Ashley County
5005	2125	Baxter County
5007	18987	Benton County
5009	2410	Boone County
5011	699	Bradley County
5013	265	Calhoun County
5015	1781	Carroll County
5017	648	Chicot County
5019	1191	Clark County
5021	957	Clay County
5023	1427	Cleburne County
5025	562	Cleveland County
5027	1379	Columbia County
5029	1423	Conway County
5031	7190	Craighead County
5033	4535	Crawford County
5035	3748	Crittenden County
5037	1145	Cross County
5039	482	Dallas County
5041	834	Desha County
5043	1106	Drew County
5045	8028	Faulkner County
5047	1179	Franklin County
5049	780	Fulton County
5051	5529	Garland County
5053	1251	Grant County
5055	3129	Greene County
5057	1516	Hempstead County
5059	1950	Hot Spring County
5061	988	Howard County
5063	2526	Independence County
5065	735	Izard County
5067	1025	Jackson County
5069	4610	Jefferson County
5071	1794	Johnson County
5073	381	Lafayette County
5075	1079	Lawrence County
5077	499	Lee County
5079	727	Lincoln County
5081	789	Little River County
5083	1370	Logan County
5085	5447	Lonoke County
5087	1047	Madison County
5089	774	Marion County
5091	2790	Miller County
5093	3273	Mississippi County
5095	406	Monroe County
5097	482	Montgomery County
5099	512	Nevada County
5101	473	Newton County
5103	1511	Ouachita County
5105	627	Perry County
5107	1366	Phillips County
5109	657	Pike County
5111	1531	Poinsett County
5113	1362	Polk County
5115	3941	Pope County
5117	494	Prairie County
5119	24771	Pulaski County
5121	1113	Randolph County
5123	1586	St. Francis County
5125	8119	Saline County
5127	773	Scott County
5129	449	Searcy County
5131	8593	Sebastian County
5133	1372	Sevier County
5135	1023	Sharp County
5137	728	Stone County
5139	2680	Union County
5141	1008	Van Buren County
5143	15477	Washington County
5145	5232	White County
5147	414	Woodruff County
5149	1542	Yell County
6001	94276	Alameda County
6003	68	Alpine County
6005	1709	Amador County
6007	12795	Butte County
6009	2280	Calaveras County
6011	1611	Colusa County
6013	76968	Contra Costa County
6015	1539	Del Norte County
6017	11846	El Dorado County
6019	75261	Fresno County
6021	2046	Glenn County
6023	7252	Humboldt County
6025	13726	Imperial County
6027	951	Inyo County
6029	69623	Kern County
6031	10946	Kings County
6033	3601	Lake County
6035	1443	Lassen County
6037	619527	Los Angeles County
6039	11719	Madera County
6041	16387	Marin County
6043	819	Mariposa County
6045	5152	Mendocino County
6047	22557	Merced County
6049	550	Modoc County
6051	767	Mono County
6053	30503	Monterey County
6055	8969	Napa County
6057	5059	Nevada County
6059	202591	Orange County
6061	25574	Placer County
6063	915	Plumas County
6065	174835	Riverside County
6067	100433	Sacramento County
6069	4456	San Benito County
6071	159086	San Bernardino County
6073	194074	San Diego County
6075	28255	San Francisco County
6077	56750	San Joaquin County
6079	14203	San Luis Obispo County
6081	44779	San Mateo County
6083	26414	Santa Barbara County
6085	121637	Santa Clara County
6087	15017	Santa Cruz County
6089	10732	Shasta County
6091	147	Sierra County
6093	2401	Siskiyou County
6095	27907	Solano County
6097	29460	Sonoma County
6099	40887	Stanislaus County
6101	7279	Sutter County
6103	4326	Tehama County
6105	616	Trinity County
6107	39786	Tulare County
6109	2541	Tuolumne County
6111	57274	Ventura County
6113	12614	Yolo County
6115	5561	Yuba County
8001	38395	Adams County
8003	1046	Alamosa County
8005	43527	Arapahoe County
8007	677	Archuleta County
8009	195	Baca County
8011	280	Bent County
8013	19038	Boulder County
8014	4746	Broomfield County
8015	836	Chaffee County
8017	113	Cheyenne County
8019	428	Clear Creek County
8021	602	Conejos County
8023	221	Costilla County
8025	185	Crowley County
8027	208	Custer County
8029	1852	Delta County
8031	36135	Denver County
8033	122	Dolores County
8035	28716	Douglas County
8037	3574	Eagle County
8039	1866	Elbert County
8041	46394	El Paso County
8043	2161	Fremont County
8045	4081	Garfield County
8047	336	Gilpin County
8049	805	Grand County
8051	831	Gunnison County
8053	34	Hinsdale County
8055	327	Huerfano County
8057	72	Jackson County
8059	33640	Jefferson County
8061	75	Kiowa County
8063	467	Kit Carson County
8065	439	Lake County
8067	2991	La Plata County
8069	19365	Larimer County
8071	774	Las Animas County
8073	299	Lincoln County
8075	1168	Logan County
8077	9066	Mesa County
8079	38	Mineral County
8081	946	Moffat County
8083	1614	Montezuma County
8085	2654	Montrose County
8087	2042	Morgan County
8089	1318	Otero County
8091	262	Ouray County
8093	870	Park County
8095	309	Phillips County
8097	854	Pitkin County
8099	874	Prowers County
8101	10889	Pueblo County
8103	421	Rio Blanco County
8105	764	Rio Grande County
8107	1413	Routt County
8109	381	Saguache County
8111	29	San Juan County
8113	435	San Miguel County
8115	141	Sedgwick County
8117	1341	Summit County
8119	1287	Teller County
8121	289	Washington County
8123	21849	Weld County
8125	727	Yuma County
9001	65583	Fairfield County
9003	56469	Hartford County
9005	10904	Litchfield County
9007	9516	Middlesex County
9009	51780	New Haven County
9011	16026	New London County
9013	8502	Tolland County
9015	6963	Windham County
10001	11276	Kent County
10003	34248	New Castle County
10005	11570	Sussex County
11001	26410	District of Columbia
12001	11874	Alachua County
12003	1940	Baker County
12005	10538	Bay County
12007	1476	Bradford County
12009	30568	Brevard County
12011	112509	Broward County
12013	801	Calhoun County
12015	6545	Charlotte County
12017	5949	Citrus County
12019	14823	Clay County
12021	18237	Collier County
12023	4082	Columbia County
12027	1970	DeSoto County
12029	828	Dixie County
12031	54414	Duval County
12033	17097	Escambia County
12035	5676	Flagler County
12037	524	Franklin County
12039	2816	Gadsden County
12041	1039	Gilchrist County
12043	675	Glades County
12045	639	Gulf County
12047	752	Hamilton County
12049	2070	Hardee County
12051	2965	Hendry County
12053	9817	Hernando County
12055	4922	Highlands County
12057	85561	Hillsborough County
12059	1086	Holmes County
12061	7344	Indian River County
12063	2562	Jackson County
12065	669	Jefferson County
12067	535	Lafayette County
12069	18645	Lake County
12071	37153	Lee County
12073	14991	Leon County
12075	2243	Levy County
12077	453	Liberty County
12079	926	Madison County
12081	19835	Manatee County
12083	18200	Marion County
12085	7613	Martin County
12086	148912	Miami-Dade County
12087	3075	Monroe County
12089	4674	Nassau County
12091	11271	Okaloosa County
12093	2355	Okeechobee County
12095	81085	Orange County
12097	23639	Osceola County
12099	78353	Palm Beach County
12101	29842	Pasco County
12103	44651	Pinellas County
12105	42444	Polk County
12107	4305	Putnam County
12109	15448	St. Johns County
12111	17822	St. Lucie County
12113	10879	Santa Rosa County
12115	17410	Sarasota County
12117	28018	Seminole County
12119	2326	Sumter County
12121	2594	Suwannee County
12123	1153	Taylor County
12125	779	Union County
12127	26090	Volusia County
12129	1923	Wakulla County
12131	3593	Walton County
12133	1413	Washington County
13001	1260	Appling County
13003	628	Atkinson County
13005	820	Bacon County
13007	186	Baker County
13009	2487	Baldwin County
13011	1287	Banks County
13013	5811	Barrow County
13015	7489	Bartow County
13017	1157	Ben Hill County
13019	1395	Berrien County
13021	10346	Bibb County
13023	743	Bleckley County
13025	1310	Brantley County
13027	940	Brooks County
13029	3067	Bryan County
13031	4108	Bulloch County
13033	1728	Burke County
13035	1416	Butts County
13037	356	Calhoun County
13039	3263	Camden County
13043	835	Candler County
13045	7861	Carroll County
13047	4617	Catoosa County
13049	627	Charlton County
13051	16420	Chatham County
13053	432	Chattahoochee County
13055	1611	Chattooga County
13057	18460	Cherokee County
13059	5417	Clarke County
13061	169	Clay County
13063	21514	Clayton County
13065	494	Clinch County
13067	52013	Cobb County
13069	2938	Coffee County
13071	3322	Colquitt County
13073	11137	Columbia County
13075	1265	Cook County
13077	10582	Coweta County
13079	778	Crawford County
13081	1575	Crisp County
13083	869	Dade County
13085	1498	Dawson County
13087	1851	Decatur County
13089	44784	DeKalb County
13091	1118	Dodge County
13093	819	Dooly County
13095	5974	Dougherty County
13097	11235	Douglas County
13099	796	Early County
13101	310	Echols County
13103	4470	Effingham County
13105	1132	Elbert County
13107	1539	Emanuel County
13109	818	Evans County
13111	1288	Fannin County
13113	8799	Fayette County
13115	6369	Floyd County
13117	19290	Forsyth County
13119	1437	Franklin County
13121	64343	Fulton County
13123	1622	Gilmer County
13125	221	Glascock County
13127	5459	Glynn County
13129	4073	Gordon County
13131	1874	Grady County
13133	926	Greene County
13135	73354	Gwinnett County
13137	2869	Habersham County
13139	14671	Hall County
13141	380	Hancock County
13143	2105	Haralson County
13145	2251	Harris County
13147	1535	Hart County
13149	771	Heard County
13151	18208	Henry County
13153	10764	Houston County
13155	607	Irwin County
13157	4851	Jackson County
13159	1012	Jasper County
13161	1132	Jeff Davis County
13163	1110	Jefferson County
13165	545	Jenkins County
13167	567	Johnson County
13169	2140	Jones County
13171	1075	Lamar County
13173	628	Lanier County
13175	3357	Laurens County
13177	2360	Lee County
13179	3738	Liberty County
13181	412	Lincoln County
13183	1325	Long County
13185	7348	Lowndes County
13187	1614	Lumpkin County
13189	1534	McDuffie County
13191	769	McIntosh County
13193	743	Macon County
13195	1951	Madison County
13197	518	Marion County
13199	1337	Meriwether County
13201	379	Miller County
13205	1471	Mitchell County
13207	1636	Monroe County
13209	534	Montgomery County
